"B1","B2","B3","B4","q","k","stage","prov","Tb","Tm","Eqn","Eqn2"
0.399212993134534,3.2256211129817,6.29886183997548,0.142917713838491,4.09302721125017,31.8693742484221,"L2","in",4.4,38,7,10
1.50262492222185,3.02308823005606,5.47826206305211,0.332417854514225,1.48564467196799,14.4887122322435,"L3","in",4.4,38,7,10
0.291498572757672,3.80391651181566,12.5604157098738,0.0573501058595781,0.01,7.03973861926666,"L4","in",4.4,38,7,10
1.7559432602682,2.38377298980544,4.19760872058422,0.39901795108071,0.01,6.49911549490644,"L5","in",4.4,38,7,10
0.884214382782521,1.81621878480269,3.76554500506339,0.513246061283719,0.829438373040363,10.1085657464347,"L6","in",4.4,38,7,10
0.707664588086096,3.50141821125272,4.25045409175759,0.0662878096623043,0.781093213052808,10.4984510627232,"L2","nb",4.4,38,7,10
1.06958374854662,3.44013714958442,5.51624383590875,0.226423046804181,2.43308786560062,16.7131309241078,"L3","nb",4.4,38,7,10
1.23766517253995,3.61837658170942,4.52610807443389,0.112766803315089,0.110881194216141,6.91197639114047,"L4","nb",4.4,38,7,10
2,4.0488894648495,4.32047840685332,0.116145569875903,1.52586609128923,13.0338930074132,"L5","nb",4.4,38,7,10
1.14955698688741,3.74853407169538,4.95051181420414,0.232907707750743,1.13549612272721,12.0210747821387,"L6","nb",4.4,38,7,10
2,4.28265759513971,3.62624446143672,0.0451405163975382,0.314373289153368,8.19637311652714,"L2","on",4.4,38,7,10
0.394570534720285,3.21865857223066,7.59035871409304,0.12205033966522,0.01,6.09607451862977,"L3","on",4.4,38,7,10
1.84732074852591,3.94006996747509,4.20348970814972,0.0814316222456078,0.707301241470867,7.20595564228694,"L4","on",4.4,38,7,10
1.6825678609931,3.87946684509893,5.43050929318302,0.214730404812652,0.249418190595636,7.14529597642794,"L5","on",4.4,38,7,10
1.08091346649629,3.71284645374589,5.13852972554424,0.245504332357825,1.23332594328725,10.5641822167315,"L6","on",4.4,38,7,10
2,4.78236081196594,4.50646107133291,0.05331280374709,1.372241875399,12.6424843179246,"L2","qc",4.4,38,7,10
0.627160698716239,3.07651729892571,5.2402090456287,0.0850357984153868,0.332133217815709,8.39645556717623,"L3","qc",4.4,38,7,10
0.797417099484123,3.27462382717892,4.92001505296126,0.097310601493683,0.01,6.39916428915765,"L4","qc",4.4,38,7,10
1.42162637587904,3.91790682887067,5.09560091630576,0.151287875418538,0.01,8.54775211689186,"L5","qc",4.4,38,7,10
1.12310259312161,3.71451914805824,4.88955079893492,0.228603634039637,1.73914505763264,12.1544868217293,"L6","qc",4.4,38,7,10
0.484720869788644,3.3181312968516,6.35766620669684,0.0630997713160663,3.33902082395853,23.4866580435977,"L2","ip",4.4,38,7,10
0.660122098393633,3.69883214908783,7.50417367720043,0.0568584930514106,1.28573716956651,12.2458130503639,"L3","ip",4.4,38,7,10
0.672729927985508,3.59973049477283,7.22823694092928,0.0582649387000263,0.299240624464473,6.45914097714357,"L4","ip",4.4,38,7,10
1.19884831880317,3.12647694082719,4.29899166583835,0.165113221597408,0.01,6.72297320061256,"L5","ip",4.4,38,7,10
0.462278116159566,3.06571688438968,4.97071172334837,0.151739866112381,0.0820459217295844,11.1199604314031,"L6","ip",4.4,38,7,10
0.194,3,5.84,0.034,-6.68,1.05,"L2o","in",2.5,35,7,11
0.194,3,5.84,0.034,-6.68,1.05,"L2o","nb",2.5,35,7,11
0.194,3,5.84,0.034,-6.68,1.05,"L2o","on",2.5,35,7,11
0.194,3,5.84,0.034,-6.68,1.05,"L2o","qc",2.5,35,7,11
0.194,3,5.84,0.034,-6.68,1.05,"L2o","ip",2.5,35,7,11
